# tracer: function
#
# entries-in-buffer/entries-written: 5981/5981   #P:1
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
 set_ftrace_sche-719     [000] d..2 64762.930634: sched_switch: prev_comm=set_ftrace_sche prev_pid=719 prev_prio=120 prev_state=D ==> next_comm=set_ftrace_sche next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.931274: sched_switch: prev_comm=set_ftrace_sche prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.932190: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.932434: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.932434: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=S ==> next_comm=set_ftrace_sche next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.933380: sched_switch: prev_comm=set_ftrace_sche prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.934021: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64762.934052: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.934387: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=R+ ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.934570: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=ksoftirqd/0 next_pid=9 next_prio=120
     ksoftirqd/0-9       [000] d..2 64762.934570: sched_switch: prev_comm=ksoftirqd/0 prev_pid=9 prev_prio=120 prev_state=S ==> next_comm=set_ftrace_sche next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.934814: sched_switch: prev_comm=set_ftrace_sche prev_pid=725 prev_prio=120 prev_state=R+ ==> next_comm=set_ftrace_sche next_pid=719 next_prio=120
 set_ftrace_sche-719     [000] d..2 64762.934906: sched_switch: prev_comm=set_ftrace_sche prev_pid=719 prev_prio=120 prev_state=S ==> next_comm=set_ftrace_sche next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.936493: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.937408: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
    kworker/u3:3-712     [000] d..2 64762.937622: sched_switch: prev_comm=kworker/u3:3 prev_pid=712 prev_prio=100 prev_state=I ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.937836: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=R+ ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64762.937927: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64762.938599: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64762.939423: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u3:3 next_pid=712 next_prio=100
