# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.000 us    |                                                } /* preempt_count_add */
 0) + 30.517 us   |                                              } /* _raw_spin_lock */
 0)   0.000 us    |                                              arm_heavy_mb();
 0)               |                                              _raw_spin_unlock() {
 0) + 30.518 us   |                                                preempt_count_sub();
 0) + 30.518 us   |                                              }
 0) + 61.035 us   |                                            } /* irq_gc_mask_disable_reg */
 0) + 61.035 us   |                                          } /* omap_mask_ack_irq */
 0)   0.000 us    |                                          irq_may_run();
 0)               |                                          handle_irq_event() {
 0)               |                                            _raw_spin_unlock() {
 0)   0.000 us    |                                              preempt_count_sub();
 0) + 30.518 us   |                                            }
 0)               |                                            handle_irq_event_percpu() {
 0)               |                                              __handle_irq_event_percpu() {
 0)               |                                                omap2_gp_timer_interrupt() {
 0)               |                                                  hrtimer_interrupt() {
 0)               |                                                    _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                      preempt_count_add();
 0) + 30.517 us   |                                                    }
 0)   0.000 us    |                                                    ktime_get_update_offsets_now();
 0)               |                                                    __hrtimer_run_queues() {
 0) + 30.518 us   |                                                      __remove_hrtimer();
 0)               |                                                      _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                        preempt_count_sub();
 0)   0.000 us    |                                                      }
 0)               |                                                      tick_sched_timer() {
 0)   0.000 us    |                                                        ktime_get();
 0)               |                                                        tick_sched_do_timer() {
 0)               |                                                          tick_do_update_jiffies64() {
 0)               |                                                            _raw_spin_lock() {
 0)   0.000 us    |                                                              preempt_count_add();
 0)   0.000 us    |                                                            }
 0)               |                                                            do_timer() {
 0) + 30.518 us   |                                                              calc_global_load();
 0) + 30.518 us   |                                                            }
 0)               |                                                            _raw_spin_unlock() {
 0)   0.000 us    |                                                              preempt_count_sub();
 0)   0.000 us    |                                                            }
 0)               |                                                            update_wall_time() {
 0)               |                                                              timekeeping_advance() {
 0)               |                                                                _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                                                  preempt_count_add();
 0)   0.000 us    |                                                                }
 0)   0.000 us    |                                                                ntp_tick_length();
 0) + 30.517 us   |                                                                ntp_tick_length();
 0)               |                                                                timekeeping_update() {
 0)   0.000 us    |                                                                  ntp_get_next_leap();
 0)   0.000 us    |                                                                  update_vsyscall();
 0)               |                                                                  raw_notifier_call_chain() {
 0) + 30.518 us   |                                                                    notifier_call_chain();
 0) + 30.518 us   |                                                                  }
 0)   0.000 us    |                                                                  update_fast_timekeeper();
 0)   0.000 us    |                                                                  update_fast_timekeeper();
 0) + 30.518 us   |                                                                }
 0)               |                                                                _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                                                  preempt_count_sub();
 0) + 30.517 us   |                                                                }
 0) ! 122.070 us  |                                                              }
 0) ! 122.070 us  |                                                            }
 0) ! 152.588 us  |                                                          }
 0) ! 152.588 us  |                                                        }
 0)               |                                                        tick_sched_handle() {
 0)               |                                                          update_process_times() {
 0)               |                                                            account_process_tick() {
 0)               |                                                              account_system_time() {
 0)               |                                                                account_system_index_time() {
 0)               |                                                                  cpuacct_account_field() {
 0)   0.000 us    |                                                                    __rcu_read_lock();
 0) + 30.517 us   |                                                                    __rcu_read_unlock();
 0) + 30.517 us   |                                                                  }
 0)   0.000 us    |                                                                  __rcu_read_lock();
 0)   0.000 us    |                                                                  __rcu_read_unlock();
 0)               |                                                                  acct_account_cputime() {
 0)   0.000 us    |                                                                    __acct_update_integrals();
 0) + 30.518 us   |                                                                  }
 0) + 61.035 us   |                                                                }
 0) + 61.035 us   |                                                              }
 0) + 61.035 us   |                                                            }
 0)               |                                                            run_local_timers() {
 0)   0.000 us    |                                                              hrtimer_run_queues();
 0)               |                                                              raise_softirq() {
 0)   0.000 us    |                                                                __raise_softirq_irqoff();
 0) + 30.518 us   |                                                              }
 0) + 30.518 us   |                                                            }
 0)               |                                                            rcu_sched_clock_irq() {
 0)   0.000 us    |                                                              rcu_is_cpu_rrupt_from_idle();
 0) + 30.517 us   |                                                              rcu_preempt_need_deferred_qs();
 0)   0.000 us    |                                                              rcu_segcblist_ready_cbs();
 0) + 30.517 us   |                                                            }
 0)               |                                                            scheduler_tick() {
 0)               |                                                              _raw_spin_lock() {
